Silica Alumina Reference Material,,,,,|,Silica Alumina Reference Material,,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,,|,Silica Alumina Reference Material,,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,,|,Silica Alumina Reference Material,,,
TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,,|,TriStar II Plus 3.03,TriStar II 3020 Version 3.02,Page 1,
,Serial # 184  Unit 1  Port 1,,,,|,,Serial # 184  Unit 1  Port 1,,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,,|,,Serial # 184  Unit 1  Port 1,,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,,|,,Serial # 184  Unit 1  Port 1,,
,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,
,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,
Sample:,JIEKONG-Method,,,,|,Sample:,JIEKONG-Method,,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,,|,Sample:,JIEKONG-Method,,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,,|,Sample:,JIEKONG-Method,,
Operator:,,,,,|,Operator:,,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,,|,Operator:,,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,,|,Operator:,,,
Submitter:,,,,,|,Submitter:,,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,,|,Submitter:,,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,,|,Submitter:,,,
File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,,|,File:,E:\Research_Data\2025-12\ZnCl2-SDAC\Sample_n1.5\,,
,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,
,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,,|,,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,
Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2,|,Started:,2025/12/5 10:40,Analysis adsorptive:,N2
Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C,|,Completed:,2025/12/5 22:01,Analysis bath temp.:,-195.800 °„C
Report time:,2025/12/7 13:55,Thermal correction:,No,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No,|,Report time:,2025/12/7 13:55,Thermal correction:,No
